PRIMARY_KEY,insee,Occupation_42,Age_2018,IS_STUDENT,highest_diploma,Act,FAMILY_TYPE,SEX,target
2,"01004","csp_4_5",43,FALSE,"edu1_4","type_1_1","fm|4|1","Female","V"
3,"01004","csp_7_8",74,FALSE,"edu1_3","type_2_1","fm|4|4","Male","A"
4,"01004","csp_7_8",75,FALSE,"edu1_3","type_2_1","fm|4|4","Male","V"
5,"01004","csp_4_2",50,FALSE,"edu1_7","type_1_2","fm|4|3","Male","A"
6,"01004","csp_8_4",19,TRUE,"edu1_5","type_2_2","fm|3|2","Male","V"
8,"01004","csp_7_1",89,FALSE,"edu1_1","type_2_1","fm|4|4","Male","V"
9,"01004","csp_5_2",24,FALSE,"edu1_6","type_1_1","fm|4|1","Male","A"
10,"01004","csp_5_4",37,FALSE,"edu1_3","type_1_1","fm|4|1","Female","V"
11,"01004","csp_8_4",16,TRUE,"edu3","type_2_2","fm|4|1","Female","A"
13,"01004","csp_5_3",46,FALSE,"edu1_4","type_1_2","fm|3|2","Male","V"
14,"01004","csp_7_7",75,FALSE,"edu3","type_2_1","fm|4|4","Female","V"
15,"01004","csp_7_1",82,FALSE,"edu1_1","type_2_1","fm|4|4","Male","V"
23,"01004","csp_4_3",42,FALSE,"edu1_8","type_1_1","fm|4|1","Female","V"
24,"01005","csp_3_8",28,FALSE,"edu1_8","type_1_1","fm|4|2","Male","A"
26,"01005","csp_7_5",63,FALSE,"edu1_2","type_2_1","fm|4|3","Male","V"
28,"01007","csp_7_1",83,FALSE,"edu1_1","type_2_1","fm|1|2","Female","V"
31,"01007","csp_5_4",44,FALSE,"edu1_2","type_1_1","fm|4|1","Female","A"
32,"01007","csp_6_3",25,FALSE,"edu1_4","type_1_1","fm|4|3","Male","A"
34,"01008","csp_1_1",61,FALSE,"edu1_1","type_1_1","fm|4|3","Female","V"
35,"01008","csp_6_7",66,FALSE,"edu1_3","type_1_1","fm|4|1","Female","V"
38,"01014","csp_7_5",72,FALSE,"edu1_7","type_2_1","fm|4|4","Male","A"
40,"01014","csp_5_4",36,FALSE,"edu1_6","type_1_1","fm|4|1","Female","A"
41,"01014","csp_7_5",88,FALSE,"edu1_7","type_2_1","fm|1|2","Female","V"
42,"01014","csp_7_2",87,FALSE,"edu1_3","type_2_1","fm|4|4","Male","V"
44,"01016","csp_3_8",37,FALSE,"edu1_8","type_1_1","fm|4|1","Male","V"
45,"01017","csp_6_2",31,FALSE,"edu1_6","type_1_1","fm|4|1","Male","A"
46,"01017","csp_8_5",23,FALSE,"edu2","type_2_5","fm|4|2","Female","A"
48,"01021","csp_6_9",31,FALSE,"edu1_6","type_1_2","fm|2|0","Male","A"
49,"01021","csp_6_7",43,FALSE,"edu1_3","type_1_1","fm|2|0","Male","A"
51,"01024","csp_7_5",60,FALSE,"edu1_7","type_2_1","fm|4|2","Female","V"
52,"01024","csp_3_5",55,FALSE,"edu1_4","type_1_1","fm|4|1","Male","V"
53,"01025","csp_8_5",48,TRUE,"edu1_9","type_2_5","fm|1|1","Male","A"
54,"01025","csp_7_8",71,FALSE,"edu1_1","type_2_1","fm|4|4","Female","A"
55,"01025","csp_3_5",60,FALSE,"edu1_7","type_1_1","fm|4|1","Male","V"
57,"01027","csp_5_6",57,FALSE,"edu1_3","type_1_1","fm|4|1","Female","A"
61,"01031","csp_4_7",44,FALSE,"edu1_6","type_1_2","fm|1|1","Male","A"
62,"01031","csp_4_6",34,FALSE,"edu1_6","type_1_1","fm|4|1","Male","A"
68,"01031","csp_4_7",41,FALSE,"edu1_3","type_1_1","fm|4|1","Male","V"
69,"01032","csp_8_1",26,TRUE,"edu1_8","type_1_2","fm|4|3","Female","A"
70,"01032","csp_7_5",67,FALSE,"edu1_2","type_2_1","fm|4|4","Female","A"
72,"01032","csp_4_6",45,FALSE,"edu1_6","type_1_1","fm|4|2","Male","A"
76,"01033","csp_4_6",66,FALSE,"edu1_7","type_1_1","fm|2|0","Female","A"
77,"01033","csp_7_7",89,FALSE,"edu1_3","type_2_1","fm|4|4","Female","V"
78,"01033","csp_8_4",22,TRUE,"edu1_5","type_2_2","fm|3|2","Male","V"
79,"01033","csp_3_4",50,FALSE,"edu1_7","type_1_1","fm|4|1","Male","V"
80,"01033","csp_8_4",18,TRUE,"edu3","type_2_2","fm|4|1","Female","A"
86,"01033","csp_8_5",32,FALSE,"edu1_4","type_2_4","fm|4|2","Female","A"
88,"01033","csp_6_7",42,TRUE,"edu2","type_1_2","fm|4|4","Female","V"
