PRIMARY_KEY,WORKING_HOURS,EMPLOYER_CATEGORY,WAGES,JOB_DESCRIPTION,JOB_CATEGORY,CONTRACT_TYPE,JOB_DEP,Job_condition,activity_sector,Employee_count
2,1820,"ct_9",22486,"451a","O","CDI","01","C","HZ","tr_3"
9,647,"ct_1",4196,"524b","O","TOA","71","C","OZ","tr_5"
10,1684,"ct_9",16196,"543b","O","CDI","01","P","GZ","tr_4"
24,1796,"ct_9",49907,"383a","O","CDI","69","C","MA","tr_4"
31,1736,"ct_9",24460,"543b","O","CDI","01","C","MA","tr_1"
32,985,"ct_9",9204,"632a","O","CDD","75","C","FZ","tr_1"
40,1739,"ct_9",18855,"542b","O","CDI","01","C","CK","tr_3"
44,1320,"ct_9",38979,"388d","O","CDI","69","C","MA","tr_1"
45,1577,"ct_9",14085,"624b","O","TTP","01","C","NZ","tr_1"
49,1836,"ct_9",19706,"674c","O","CDI","71","C","CA","tr_5"
57,902,"ct_9",12294,"561b","O","TOA","01","C","IZ","tr_1"
62,1670,"ct_9",30002,"461e","O","CDI","69","C","MA","tr_0"
68,1867,"ct_9",29032,"472a","O","CDI","01","C","CG","tr_4"
72,1664,"ct_9",20616,"463c","O","CDI","01","C","GZ","tr_3"
79,1820,"ct_8",26406,"341a","O","CDI","69","C","PZ","tr_4"
89,1447,"ct_8",12160,"525a","O","CDI","01","P","PZ","tr_5"
90,1785,"ct_9",36227,"543b","O","CDI","69","C","LZ","tr_1"
91,1836,"ct_3",25333,"526c","O","AUT","01","C","QA","tr_6"
94,1820,"ct_9",39643,"388c","O","CDI","69","C","JC","tr_6"
104,1684,"ct_9",21109,"621c","O","CDI","01","C","FZ","tr_4"
122,182,NA,2202,"563c","O","AUT","01","C","TZ",NA
124,1726,"ct_9",24772,"461d","O","CDI","01","C","NZ","tr_2"
131,800,"ct_9",10392,"674d","O","CDI","01","C","CG","tr_4"
137,1844,"ct_9",27636,"624c","O","CDI","01","C","CL","tr_6"
143,1812,"ct_9",19066,"433d","O","CDI","01","C","GZ","tr_2"
145,1701,"ct_9",25305,"637d","O","CDI","01","C","FZ","tr_1"
156,1924,"ct_9",25051,"628b","O","CDI","69","C","CK","tr_4"
161,171,"ct_9",1541,"684a","O","CDI","01","P","MA","tr_2"
162,1850,"ct_9",22175,"543f","O","CDI","01","C","SZ","tr_3"
163,1567,"ct_9",21625,"385b","O","CDI","01","C","CG","tr_5"
181,1690,"ct_9",16512,"374a","O","CDI","01","C","GZ","tr_3"
183,603,"ct_9",8858,"551a","O","CDI","01","P","GZ","tr_2"
184,1866,"ct_9",18893,"676e","O","CDI","01","C","GZ","tr_1"
189,1310,"ct_9",21407,"641b","O","CDI","69","C","HZ","tr_4"
197,1681,"ct_9",21683,"632e","O","CDI","01","C","FZ","tr_2"
198,954,"ct_9",8610,"684a","O","CDI","01","P","CH","tr_1"
200,479,NA,5114,"423b","O","CDI","75","C","PZ",NA
212,210,"ct_6",1887,"643a","O","CDI","01","P","IZ","tr_1"
214,2050,"ct_9",17486,"641a","O","CDI","01","C","HZ","tr_4"
215,1806,"ct_9",26624,"466c","O","CDI","73","C","HZ","tr_5"
217,771,"ct_9",6436,"472a","O","CDI","01","C","FZ","tr_1"
230,2080,"ct_9",35622,"342g","O","CDI","01","C","CI","tr_2"
248,1525,"ct_9",11639,"621e","O","CDI","71","C","FZ","tr_3"
253,1645,"ct_9",21590,"621c","O","CDI","71","C","FZ","tr_3"
254,958,"ct_1",22395,"461e","O","CDI","01","P","OZ","tr_3"
279,2131,"ct_9",21231,"641a","O","CDI","01","C","HZ","tr_5"
287,1515,"ct_3",15774,"525d","O","CDI","01","C","QA","tr_6"
296,1040,"ct_8",8394,"478c","O","CDI","69","P","SZ","tr_1"
310,1555,"ct_9",19496,"467c","O","CDI","73","C","KZ","tr_1"
312,2085,"ct_2",31243,"533a","O","AUT","01","C","OZ","tr_6"
327,1433,"ct_9",18648,"628b","O","CDI","01","C","MA","tr_6"
333,1312,"ct_9",13912,"674a","O","CDI","01","C","CG","tr_5"
349,1259,"ct_9",8623,"526c","O","CDI","01","P","QB","tr_1"
351,210,NA,2730,"563c","O","CDI","01","C","TZ",NA
361,2109,"ct_9",22626,"641a","O","CDI","69","C","HZ","tr_4"
367,1931,"ct_9",30731,"641a","O","CDI","01","C","HZ","tr_3"
372,2058,"ct_9",25707,"474a","O","CDI","01","C","CH","tr_3"
377,1820,"ct_8",39358,"434a","O","CDI","01","C","QB","tr_4"
383,858,"ct_8",6355,"675a","X","AUT","01","P","QB","tr_5"
402,1006,"ct_3",8570,"525d","X","AUT","01","C","QB","tr_3"
410,1565,"ct_1",30143,"341a","O","AUT","01","P","PZ","tr_4"
411,1820,"ct_9",10761,"467a","O","CDI","71","C","KZ","tr_6"
414,1102,"ct_9",8639,"551a","O","CDI","01","C","GZ","tr_3"
415,2074,"ct_9",17452,"643a","O","CDI","01","C","HZ","tr_2"
419,1268,"ct_9",12856,"674a","O","CDI","01","C","CM","tr_3"
422,1698,"ct_9",25003,"462c","O","CDI","01","C","GZ","tr_6"
425,607,"ct_1",4115,"422e","O","CDD","01","P","PZ","tr_5"
432,1704,"ct_9",40621,"382d","O","CDI","69","C","MA","tr_1"
442,1456,"ct_8",25569,"431b","O","CDI","01","C","QA","tr_2"
445,875,"ct_8",4364,"676c","X","AUT","01","P","QB","tr_3"
448,1823,"ct_9",25544,"463c","O","CDI","01","C","GZ","tr_3"
449,637,"ct_9",5364,"636d","O","CDI","01","C","IZ","tr_5"
450,1682,"ct_9",21025,"628a","O","CDI","69","C","CM","tr_4"
457,1820,"ct_3",22619,"431f","O","AUT","69","C","QA","tr_6"
459,1731,"ct_8",15974,"525b","O","CDI","01","C","PZ","tr_4"
462,1820,"ct_9",19127,"463e","O","CDI","01","C","GZ","tr_2"
470,1420,"ct_9",12885,"554e","O","CDI","01","C","GZ","tr_2"
471,824,"ct_1",9463,"523b","O","CDI","01","P","PZ","tr_4"
472,303,NA,3520,"561d","O","AUT","01","C","IZ",NA
473,2200,"ct_9",29410,"636c","O","CDI","01","C","CA","tr_2"
474,2073,"ct_9",21960,"676c","O","CDI","01","C","GZ","tr_0"
476,1685,"ct_9",19878,"552a","O","CDI","71","C","GZ","tr_5"
481,1916,"ct_8",20397,"563b","O","CDI","69","C","QB","tr_3"
482,1428,"ct_9",12348,"621e","O","CDI","01","C","CG","tr_5"
484,1592,"ct_9",13786,"554f","X","AUT","01","C","GZ","tr_1"
496,1724,"ct_9",19912,"634c","O","CDI","01","C","GZ","tr_1"
497,1063,"ct_8",4574,"676e","O","AUT","01","C","QB","tr_4"
503,1628,"ct_8",17887,"526d","O","CDI","01","C","QB","tr_3"
506,1771,"ct_9",58136,"344b","O","CDI","69","C","JB","tr_2"
514,1564,"ct_9",20911,"461d","O","CDI","69","C","NZ","tr_4"
515,1542,"ct_9",27090,"534a","O","CDI","51","C","PZ","tr_3"
516,1846,"ct_9",14611,"652a","O","CDI","01","C","BZ","tr_2"
517,1699,"ct_9",23410,"684b","O","CDI","01","C","EZ","tr_3"
518,1408,"ct_9",16780,"628g","O","CDI","01","C","CH","tr_3"
522,1820,"ct_9",48362,"389a","O","CDI","01","C","LZ","tr_6"
526,1764,"ct_9",28069,"461f","O","CDI","69","C","EZ","tr_1"
533,1429,"ct_9",19790,"676c","O","CDI","01","P","HZ","tr_5"
541,308,"ct_9",3333,"551a","O","CDD","01","C","GZ","tr_3"
545,1760,"ct_8",17149,"526a","O","CDI","01","C","QA","tr_5"
547,171,"ct_9",2890,"684a","O","CDD","01","C","NZ","tr_5"
548,1683,"ct_9",26277,"374d","O","CDI","01","C","GZ","tr_2"
552,1809,"ct_9",16926,"673a","O","CDI","01","C","CH","tr_3"
554,242,"ct_9",4017,"642a","O","CDI","01","P","HZ","tr_1"
555,2028,"ct_2",24402,"533a","O","AUT","01","C","OZ","tr_6"
557,2001,"ct_9",29173,"624f","O","CDI","01","C","CH","tr_3"
559,1711,"ct_9",22477,"462e","O","CDI","01","C","CK","tr_4"
560,1820,"ct_9",35620,"463b","O","CDI","01","C","GZ","tr_2"
566,1912,"ct_9",16008,"543b","O","CDI","01","P","GZ","tr_1"
573,1834,"ct_9",34290,"388a","O","CDI","69","C","JC","tr_6"
593,1820,"ct_9",22565,"485a","O","CDI","01","C","FZ","tr_1"
594,411,"ct_9",3507,"562b","O","CDI","01","C","SZ","tr_1"
595,389,"ct_8",7359,"423b","O","CDI","69","C","QB","tr_2"
607,415,"ct_7",5676,"563c","O","CDI","01","N","TZ","tr_1"
614,1533,"ct_9",33961,"479b","O","CDI","01","C","GZ","tr_2"
619,826,"ct_9",11214,"433d","O","CDI","01","P","GZ","tr_1"
625,922,"ct_8",17886,"423b","O","CDI","69","C","QB","tr_4"
628,2200,"ct_9",24418,"554a","O","CDI","01","C","CA","tr_1"
631,928,"ct_8",10374,"526c","O","CDI","69","C","QB","tr_3"
640,1820,"ct_8",18928,"526d","O","CDI","01","C","QB","tr_3"
646,1697,"ct_9",17633,"684a","O","CDI","69","P","NZ","tr_4"
648,1807,"ct_9",32372,"461c","O","CDI","69","C","LZ","tr_3"
649,1015,"ct_9",12025,"423a","O","CDI","69","C","PZ","tr_1"
650,957,"ct_8",11447,"526a","O","CDI","01","P","QA","tr_1"
651,2046,"ct_9",25955,"463c","O","CDI","01","C","GZ","tr_3"
654,1245,"ct_9",15645,"636d","O","CDI","01","C","IZ","tr_1"
656,969,"ct_9",10580,"636c","O","CDI","01","C","CA","tr_1"
659,833,"ct_8",11245,"526c","O","CDI","69","P","QB","tr_1"
668,1616,"ct_9",17467,"676a","O","CDI","01","C","CH","tr_1"
670,684,"ct_9",5181,"676c","O","CDI","01","C","CA","tr_5"
671,705,"ct_9",21438,"388a","O","CDI","69","C","JC","tr_3"
673,1820,"ct_2",26787,"472d","O","AUT","69","C","OZ","tr_6"
678,1909,"ct_9",24174,"628g","O","CDI","01","C","CJ","tr_5"
681,824,"ct_1",9447,"523b","O","CDI","01","P","PZ","tr_4"
692,1406,"ct_9",19629,"543f","O","CDI","01","C","GZ","tr_0"
693,901,"ct_3",15411,"344a","O","AUT","69","P","QA","tr_6"
695,1887,"ct_9",19712,"641a","O","CDI","01","C","EZ","tr_2"
697,1820,"ct_9",58718,"344b","O","CDI","69","C","HZ","tr_5"
702,1919,"ct_9",33839,"423b","O","CDI","01","C","CJ","tr_5"
706,317,NA,11325,"563c","O","CDI","69","C","TZ",NA
714,513,NA,9970,"563c","O","CDD","01","C","TZ",NA
717,525,"ct_8",6471,"526d","O","CDD","01","C","QB","tr_4"
727,1410,"ct_9",34723,"388c","O","CDI","69","P","JC","tr_3"
734,1760,"ct_8",16862,"526a","O","CDI","01","C","QA","tr_5"
736,1820,"ct_8",29603,"341a","O","CDI","01","C","PZ","tr_3"
739,3000,"ct_7",18742,"563a","O","CDI","01","N","QB","tr_1"
740,1518,"ct_9",19637,"526e","O","CDI","01","C","QA","tr_1"
741,1817,"ct_9",52119,"387b","O","CDI","38","C","GZ","tr_5"
744,584,"ct_9",6716,"684a","O","CDI","71","P","NZ","tr_6"
763,119,"ct_9",9359,"465a","O","CDI","69","C","MA","tr_0"
769,1619,"ct_8",23320,"526c","O","CDI","69","P","OZ","tr_6"
770,1783,"ct_9",20930,"554a","O","CDI","71","C","GZ","tr_1"
774,1975,"ct_9",31108,"641a","O","CDI","01","C","HZ","tr_3"
776,1820,"ct_9",35172,"463b","O","CDI","01","C","GZ","tr_2"
777,1731,"ct_9",34107,"373c","O","CDI","01","C","SZ","tr_1"
783,1820,"ct_8",39709,"543g","O","CDI","01","C","SZ","tr_1"
784,133,"ct_9",1576,"553c","O","TTP","01","C","NZ","tr_1"
791,1820,"ct_8",22619,"526d","O","CDI","39","C","QB","tr_4"
794,1820,"ct_2",23835,"621f","O","AUT","69","C","OZ","tr_6"
795,1820,"ct_1",25719,"451c","O","AUT","69","C","PZ","tr_6"
797,1509,"ct_9",20413,"463c","O","CDI","67","C","GZ","tr_6"
809,1853,"ct_9",21692,"451a","O","CDI","01","C","HZ","tr_3"
812,357,"ct_9",7446,"543b","O","CDD","01","C","GZ","tr_5"
813,1869,"ct_9",19892,"546c","O","CDI","01","C","HZ","tr_3"
816,1775,"ct_9",23656,"461f","O","CDI","69","C","HZ","tr_5"
822,2028,"ct_9",16620,"543b","O","CDI","69","C","MA","tr_4"
832,705,"ct_2",7734,"621f","O","CDI","01","C","OZ","tr_2"
838,1256,"ct_9",16589,"542a","O","CDI","01","C","LZ","tr_1"
846,896,"ct_6",7943,"562b","A","APP","38","C","SZ","tr_1"
847,1839,"ct_9",19736,"676c","O","CDI","69","C","HZ","tr_2"
848,1820,"ct_8",20648,"526d","O","CDI","01","C","QB","tr_3"
855,1525,"ct_9",10259,"621e","O","CDI","71","C","FZ","tr_3"
857,1842,"ct_9",17410,"626b","A","APP","01","C","CK","tr_2"
865,933,"ct_9",12000,"675c","O","TTP","01","C","NZ","tr_1"
868,1820,"ct_9",25539,"451a","O","CDI","01","C","HZ","tr_2"
873,1871,"ct_9",29867,"461e","O","CDI","71","C","CA","tr_5"
879,1821,"ct_8",18255,"526a","O","CDI","01","C","QB","tr_3"
880,1077,"ct_8",17619,"526a","O","CDI","01","P","QB","tr_4"
884,1820,"ct_1",34233,"341a","O","AUT","01","C","PZ","tr_4"
887,1844,"ct_9",33305,"462c","O","CDI","01","C","GZ","tr_5"
895,2008,"ct_9",29723,"554a","O","CDI","01","C","CA","tr_2"
898,462,"ct_9",3641,"543g","O","CDI","29","P","MA","tr_1"
903,1849,"ct_4",24957,"545d","O","CDI","69","C","OZ","tr_2"
905,259,"ct_9",8632,"342g","O","CDI","01","C","MA","tr_1"
911,1808,"ct_9",39718,"481a","O","CDI","69","C","FZ","tr_2"
913,917,"ct_7",9553,"563c","O","CDI","01","N","TZ","tr_1"
919,1483,"ct_9",15953,"625c","O","CDI","01","C","CH","tr_4"
922,1405,"ct_9",21675,"654b","O","CDI","69","C","HZ","tr_6"
933,1456,"ct_8",11567,"526a","O","CDI","01","C","QB","tr_3"
935,1820,"ct_1",20548,"342h","O","CDD","75","C","MB","tr_6"
936,1839,"ct_9",18606,"551a","O","CDI","01","C","GZ","tr_5"
938,1241,"ct_8",11414,"525b","O","CDI","01","P","PZ","tr_3"
939,2101,"ct_9",25899,"676a","O","CDI","01","C","CG","tr_4"
947,1407,"ct_9",17247,"676c","O","CDI","33","C","HZ","tr_5"
948,1939,"ct_9",25923,"467c","O","CDI","01","C","KZ","tr_1"
951,2004,"ct_8",48006,"434a","O","CDI","01","P","QB","tr_3"
960,539,"ct_9",5351,"561e","O","CDI","71","C","IZ","tr_3"
966,1596,"ct_9",21016,"543b","O","CDI","01","C","NZ","tr_2"
973,1506,"ct_9",18880,"526b","O","CDI","01","C","MC","tr_3"
975,1295,"ct_9",19395,"683a","A","APP","01","C","GZ","tr_1"
978,704,"ct_6",7887,"526b","O","CDI","01","P","QA","tr_1"
992,1328,"ct_9",28573,"464b","O","CDI","92","C","MC","tr_1"
1000,1665,"ct_9",25640,"526b","O","CDI","01","P","NZ","tr_2"
1006,1820,"ct_8",18043,"526a","O","CDI","01","C","QB","tr_5"
1010,1523,"ct_6",14647,"542a","O","CDI","01","C","QA","tr_1"
1012,1820,"ct_9",27036,"461f","O","CDI","69","C","HZ","tr_6"
1017,1820,"ct_3",17963,"525d","O","CDI","01","C","QA","tr_6"
1023,1442,"ct_9",17494,"641b","O","CDI","38","C","HZ","tr_5"
1027,1963,"ct_9",33092,"475a","O","CDI","01","C","CG","tr_1"
1038,919,"ct_9",11899,"534a","O","CDI","02","C","NZ","tr_2"
1040,1820,"ct_6",31332,"344d","O","CDI","02","C","GZ","tr_1"
1049,1659,"ct_6",14148,"632e","O","CDI","02","C","FZ","tr_1"
1058,1400,"ct_9",17204,"676c","O","CDI","59","C","GZ","tr_5"
1061,1680,"ct_9",18247,"633a","O","CDI","51","C","FZ","tr_3"
1062,1820,"ct_9",15609,"525d","O","CDI","02","C","QA","tr_6"
1067,1820,"ct_8",20823,"526a","O","CDI","02","C","QA","tr_6"
1069,2117,"ct_9",19338,"534a","O","CDI","93","C","NZ","tr_3"
1075,1162,"ct_9",19988,"481b","O","CDI","02","C","FZ","tr_4"
1092,1820,"ct_2",32653,"451g","O","CDI","02","C","OZ","tr_3"
1102,535,"ct_9",9796,"541c","O","CDI","94","C","FZ","tr_4"
1121,1820,"ct_5",27284,"372d","O","CDI","44","C","PZ","tr_6"
1127,2019,"ct_9",45112,"477b","O","CDI","95","C","CL","tr_6"
1136,1820,"ct_3",23530,"526a","O","AUT","02","C","QA","tr_6"
1153,908,"ct_9",9679,"673c","O","CDI","02","C","CG","tr_3"
1158,979,"ct_2",9741,"524c","O","CDD","02","C","RZ","tr_3"
1159,1212,"ct_9",11316,"424a","O","CDI","02","C","RZ","tr_1"
1165,1874,"ct_8",35739,"388b","O","CDI","02","C","OZ","tr_5"
1166,1831,"ct_8",23736,"526a","O","CDI","02","C","QA","tr_6"
1173,1776,"ct_9",18600,"623a","O","CDI","51","C","CG","tr_3"
1181,1471,"ct_9",8856,"682a","A","APP","51","C","GZ","tr_3"
1197,1606,"ct_9",21529,"554f","O","CDI","02","C","GZ","tr_1"
1207,1900,"ct_9",27706,"462e","O","CDI","02","C","GZ","tr_3"
1213,1430,"ct_9",13597,"684a","O","CDI","02","C","NZ","tr_4"
1230,1831,"ct_9",17379,"636c","O","CDI","77","C","CA","tr_1"
1232,740,"ct_8",8316,"526a","O","CDD","02","C","QB","tr_4"
1235,1905,"ct_9",37657,"625f","O","CDI","02","C","CA","tr_6"
1241,1898,"ct_9",31600,"461e","O","CDI","02","C","CE","tr_5"
1249,1243,"ct_8",13199,"563b","O","CDI","02","P","QB","tr_4"
1250,1308,"ct_2",14417,"524c","O","AUT","02","P","QB","tr_1"
1252,1006,"ct_9",11359,"621c","O","CDI","69","C","MC","tr_6"
1260,1891,"ct_8",47483,"431a","O","CDI","02","C","QA","tr_6"
1262,2200,"ct_9",21488,"641a","O","CDI","02","C","HZ","tr_6"
1280,1770,"ct_6",24113,"526e","O","CDI","02","C","QA","tr_2"
1285,1735,"ct_9",23074,"526a","O","CDI","02","C","QB","tr_4"
1286,1819,"ct_3",18847,"526a","O","AUT","02","C","QA","tr_6"
1293,1652,"ct_9",31243,"461b","O","CDI","51","C","FZ","tr_4"
1294,731,"ct_9",11265,"433a","O","CDI","02","P","QA","tr_1"
1300,1000,"ct_9",8287,"542a","O","CDI","02","P","KZ","tr_1"
1323,1530,"ct_9",20158,"477a","O","CDI","60","C","CE","tr_6"
1333,2479,"ct_7",8357,"563a","O","CDI","02","N","QB","tr_0"
1340,1771,"ct_8",35121,"373d","O","CDI","75","C","SZ","tr_3"
1345,1678,"ct_9",12595,"554c","O","CDI","02","C","GZ","tr_2"
1348,1747,"ct_9",16320,"676e","O","CDI","60","C","EZ","tr_3"
1349,1639,"ct_8",15556,"563b","O","CDI","02","P","QB","tr_3"
1354,1557,"ct_9",12100,"463b","O","CDI","60","C","GZ","tr_1"
1359,1819,"ct_2",19301,"524c","O","AUT","02","C","OZ","tr_6"
1367,1798,"ct_9",14493,"684a","O","CDI","02","C","CA","tr_6"
1380,2758,"ct_9",24524,"534a","O","CDI","60","C","NZ","tr_6"
1384,535,"ct_9",45935,"479b","O","CDI","02","C","KZ","tr_1"
1386,1710,"ct_9",17442,"682a","O","CDI","02","C","GZ","tr_3"
1390,250,"ct_8",2700,"563b","O","CDD","59","P","QB","tr_3"
1394,669,"ct_7",6839,"563c","O","CDI","02","N","TZ","tr_1"
1397,1820,"ct_9",49588,"462e","O","CDI","95","C","GZ","tr_1"
1408,1845,"ct_9",18715,"534a","O","CDI","77","C","NZ","tr_4"
1414,1237,"ct_9",10806,"562a","O","CDI","02","P","SZ","tr_1"
1428,1820,"ct_9",50243,"382c","O","CDI","59","C","FZ","tr_3"
1435,1820,"ct_8",33507,"423b","O","CDI","02","C","PZ","tr_3"
1436,1532,"ct_9",36000,"384a","O","CDI","02","C","CK","tr_3"
1437,1737,"ct_9",37620,"333c","O","CDI","02","C","CA","tr_3"
1448,1397,"ct_2",21896,"525a","O","CDI","60","P","OZ","tr_1"
1449,1767,"ct_9",23973,"676e","O","CDI","02","C","CC","tr_4"
1462,424,"ct_9",4849,"562a","O","CDI","02","C","SZ","tr_1"
1490,1820,"ct_5",27798,"543c","O","CDI","02","C","LZ","tr_5"
1493,1945,"ct_9",36835,"477a","O","CDI","93","C","HZ","tr_6"
1498,1819,"ct_2",23075,"526a","O","AUT","02","C","QB","tr_5"
1503,1677,"ct_9",39970,"461d","O","CDI","02","C","MA","tr_1"
1505,1849,"ct_9",31866,"636d","O","CDI","93","C","QA","tr_5"
1523,1472,"ct_9",14239,"652a","O","CDI","95","C","HZ","tr_3"
1524,1633,"ct_9",26687,"479b","O","CDI","51","C","CG","tr_5"
1529,1820,"ct_9",21899,"674c","O","CDI","02","C","CA","tr_5"
1531,260,"ct_2",2162,"525c","X","AUT","02","P","OZ","tr_6"
1539,870,"ct_9",8403,"554d","O","CDI","02","P","GZ","tr_1"
1553,1561,"ct_9",17239,"526e","O","CDI","02","C","QA","tr_1"
1555,2069,"ct_9",28720,"462b","O","CDI","02","C","GZ","tr_6"
1560,1820,"ct_9",20510,"472a","O","CDI","75","C","MA","tr_3"
1574,1925,"ct_9",27942,"676e","O","TTP","02","C","NZ","tr_1"
1584,1183,"ct_3",12377,"523d","O","AUT","80","P","QA","tr_6"
1587,1951,"ct_9",29228,"625f","O","CDI","02","C","CA","tr_6"
1598,1785,"ct_8",22683,"543b","O","CDI","02","C","IZ","tr_3"
1625,1609,"ct_9",29705,"479b","O","CDI","51","C","GZ","tr_1"
1630,508,"ct_9",6136,"551a","O","CDI","93","C","GZ","tr_6"
1634,676,"ct_9",3274,"628a","A","APP","51","C","CM","tr_2"
1638,949,"ct_9",9688,"564b","O","CDI","02","C","SZ","tr_1"
1650,1661,"ct_9",20983,"632j","O","CDI","60","C","FZ","tr_1"
1662,1045,"ct_1",9459,"422e","O","CDD","02","P","PZ","tr_4"
1664,1570,"ct_9",21719,"433d","O","CDI","02","P","GZ","tr_1"
1671,1585,"ct_2",17282,"563b","O","AUT","02","P","QB","tr_5"
1672,976,"ct_2",8230,"563b","O","AUT","02","P","QB","tr_5"
1673,1952,"ct_9",25614,"462b","O","CDI","02","C","GZ","tr_5"
1676,1820,"ct_9",15298,"621d","O","CDI","77","C","FZ","tr_1"
1677,1696,"ct_9",26241,"628b","O","CDI","02","C","CM","tr_2"
1681,2052,"ct_9",25607,"477b","O","CDI","02","C","CH","tr_5"
1682,1323,"ct_9",28618,"463b","O","CDI","02","C","GZ","tr_2"
1685,1578,"ct_9",25251,"472c","O","CDI","59","C","FZ","tr_4"
1701,990,"ct_8",8598,"685a","X","AUT","02","P","SZ","tr_2"
1712,1652,"ct_9",32699,"461b","O","CDI","51","C","FZ","tr_4"
