PRIMARY_KEY,Former_occupation_42,Former_emp,retirement_age
3,"csp_6_4","temp-1-6",60
4,"csp_6_7","temp-1-6",60
8,"csp_1_1","temp-2-1",60
14,"csp_5_2","temp-1-6",60
15,"csp_1_1","temp-2-1",60
26,"csp_4_3","temp-1-6",60
28,"csp_1_3","temp-2-2",60
38,"csp_4_8","temp-1-6",62
41,"csp_4_6","temp-1-6",61
42,"csp_2_2","temp-2-1",56
51,"csp_4_5","temp-1-6",55
54,"csp_6_7","temp-1-5",60
70,"csp_4_6","temp-1-6",60
77,"csp_5_6","temp-1-6",62
99,"csp_4_6","temp-1-6",55
102,"csp_6_8","temp-1-6",60
103,"csp_1_1","temp-2-1",65
109,"csp_3_7","temp-1-6",55
115,"csp_1_1","temp-2-1",60
123,"csp_4_6","temp-1-6",60
138,"csp_6_3","temp-1-5",60
139,"csp_5_2","temp-1-6",60
144,"csp_4_3","temp-1-6",62
150,"csp_6_2","temp-1-6",56
152,"csp_5_6","temp-1-5",64
154,"csp_2_2","temp-2-1",60
166,"csp_4_2","temp-1-6",60
167,"csp_5_6","temp-1-6",59
168,"csp_4_7","temp-1-6",60
173,"csp_3_1","temp-2-2",60
193,"csp_5_2","temp-1-6",62
196,"csp_4_6","temp-1-6",63
202,"csp_5_6","temp-1-5",64
203,"csp_4_7","temp-1-2",59
204,"csp_5_4","temp-1-5",62
218,"csp_1_1","temp-2-1",60
219,"csp_6_4","temp-1-6",65
222,"csp_6_3","temp-1-6",55
225,"csp_6_7","temp-1-6",64
231,"csp_6_7","temp-1-6",56
232,"csp_5_6","temp-1-6",60
236,"csp_5_5","temp-1-6",63
239,"csp_6_7","temp-1-6",60
244,"csp_6_3","temp-1-6",60
250,"csp_4_5","temp-1-6",65
257,"csp_5_2","temp-1-6",62
262,"csp_5_2","temp-1-6",63
263,"csp_4_7","temp-1-6",60
264,"csp_5_6","temp-1-6",60
265,"csp_5_6","temp-1-5",61
267,"csp_4_8","temp-1-6",60
269,"csp_2_3","temp-2-2",63
275,"csp_6_3","temp-1-6",60
278,"csp_1_2","temp-2-1",60
291,"csp_6_7","temp-1-6",60
302,"csp_5_6","temp-1-6",55
306,"csp_6_5","temp-1-6",65
309,"csp_5_3","temp-1-6",55
320,"csp_5_6","temp-1-6",55
323,"csp_6_8","temp-1-6",65
331,"csp_1_3","temp-2-2",60
332,"csp_5_4","temp-1-6",60
342,"csp_6_7","temp-1-6",60
345,"csp_6_8","temp-1-6",57
353,"csp_6_2","temp-1-6",65
356,"csp_4_5","temp-1-6",60
360,"csp_6_5","temp-1-6",63
365,"csp_6_7","temp-1-6",65
379,"csp_5_6","temp-1-6",60
406,"csp_1_1","temp-2-1",62
423,"csp_5_3","temp-1-6",59
429,"csp_4_2","temp-1-6",60
434,"csp_6_3","temp-1-6",60
437,"csp_6_7","temp-1-6",55
443,"csp_4_2","temp-1-6",55
452,"csp_6_2","temp-1-6",59
486,"csp_5_2","temp-1-6",60
500,"csp_4_6","temp-1-6",60
511,"csp_5_2","temp-1-5",60
519,"csp_6_7","temp-1-6",60
535,"csp_6_7","temp-1-6",63
542,"csp_5_4","temp-1-6",60
550,"csp_5_5","temp-1-6",65
562,"csp_5_2","temp-1-6",60
565,"csp_5_2","temp-1-5",62
577,"csp_4_6","temp-1-6",60
581,"csp_6_5","temp-1-6",62
582,"csp_5_2","temp-1-6",55
589,"csp_4_2","temp-1-6",63
601,"csp_2_1","temp-2-2",61
602,"csp_5_4","temp-1-6",60
606,"csp_4_3","temp-2-1",60
617,"csp_4_8","temp-1-6",60
618,"csp_6_7","temp-1-6",62
629,"csp_5_2","temp-1-6",62
632,"csp_2_1","temp-2-1",55
633,"csp_6_3","temp-1-6",58
639,"csp_5_5","temp-1-6",67
647,"csp_6_8","temp-1-6",57
652,"csp_6_7","temp-1-2",62
657,"csp_5_6","temp-1-6",60
666,"csp_4_7","temp-1-6",55
674,"csp_5_6","temp-1-6",60
680,"csp_4_3","temp-1-6",60
691,"csp_4_6","temp-1-6",60
694,"csp_5_4","temp-1-6",60
704,"csp_5_4","temp-1-6",60
709,"csp_5_2","temp-1-6",60
720,"csp_4_3","temp-1-6",54
721,"csp_5_4","temp-1-6",61
722,"csp_4_6","temp-1-6",60
723,"csp_6_8","temp-1-6",65
725,"csp_3_3","temp-1-6",62
733,"csp_4_5","temp-1-6",65
742,"csp_5_6","temp-1-6",65
745,"csp_1_1","temp-2-1",60
747,"csp_1_1","temp-2-1",60
751,"csp_5_5","temp-1-6",60
759,"csp_3_7","temp-1-6",60
771,"csp_6_7","temp-1-6",60
772,"csp_4_5","temp-1-6",60
773,"csp_6_8","temp-1-6",60
781,"csp_5_2","temp-1-6",60
787,"csp_4_6","temp-1-6",64
788,"csp_6_2","temp-1-6",60
802,"csp_6_7","temp-1-6",60
803,"csp_6_8","temp-1-6",60
814,"csp_4_8","temp-1-6",64
828,"csp_5_2","temp-1-6",63
830,"csp_5_6","temp-1-5",60
839,"csp_6_8","temp-1-6",65
840,"csp_5_6","temp-1-6",60
852,"csp_4_5","temp-1-6",60
888,"csp_2_3","temp-2-2",60
893,"csp_5_2","temp-1-6",60
904,"csp_1_1","temp-2-1",56
908,"csp_2_1","temp-2-2",60
920,"csp_4_7","temp-1-6",58
924,"csp_6_9","temp-1-6",62
926,"csp_4_6","temp-1-6",54
940,"csp_2_1","temp-2-1",56
950,"csp_4_6","temp-1-6",60
952,"csp_4_3","temp-1-6",60
956,"csp_6_9","temp-1-6",65
977,"csp_3_8","temp-1-6",60
987,"csp_4_2","temp-2-1",60
989,"csp_4_7","temp-1-6",63
993,"csp_1_1","temp-2-1",50
1001,"csp_5_6","temp-1-6",61
1005,"csp_5_2","temp-1-6",60
1026,"csp_6_8","temp-1-6",65
1044,"csp_5_4","temp-1-6",60
1045,"csp_3_1","temp-2-1",55
1046,"csp_5_3","temp-1-6",60
1052,"csp_4_5","temp-1-6",61
1071,"csp_5_4","temp-1-6",62
1088,"csp_6_4","temp-1-6",60
1096,"csp_5_6","temp-1-6",60
1098,"csp_4_4","temp-1-6",65
1100,"csp_6_8","temp-1-6",65
1106,"csp_6_2","temp-1-6",60
1109,"csp_5_6","temp-1-6",60
1110,"csp_5_2","temp-1-6",60
1112,"csp_1_2","temp-2-2",60
1114,"csp_3_4","temp-1-6",60
1139,"csp_6_8","temp-1-6",60
1140,"csp_5_2","temp-1-6",62
1147,"csp_5_3","temp-1-6",65
1148,"csp_5_4","temp-1-6",60
1156,"csp_3_5","temp-1-6",51
1167,"csp_6_2","temp-1-6",61
1179,"csp_6_7","temp-1-6",60
1187,"csp_6_4","temp-1-6",63
1188,"csp_4_3","temp-1-6",58
1190,"csp_4_3","temp-1-6",60
1192,"csp_5_6","temp-1-6",62
1195,"csp_5_5","temp-1-6",65
1196,"csp_6_2","temp-1-6",60
1205,"csp_4_3","temp-2-1",60
1245,"csp_5_6","temp-1-2",65
1248,"csp_4_6","temp-1-6",60
1253,"csp_6_7","temp-1-6",54
1264,"csp_6_8","temp-1-6",60
1266,"csp_5_2","temp-1-6",57
1268,"csp_1_3","temp-2-2",63
1270,"csp_6_8","temp-1-3",60
1281,"csp_4_6","temp-1-6",60
1283,"csp_6_5","temp-1-6",56
1284,"csp_3_5","temp-2-1",59
1301,"csp_1_1","temp-2-2",60
1302,"csp_1_1","temp-2-1",60
1305,"csp_1_1","temp-2-1",55
1309,"csp_6_4","temp-1-6",61
1311,"csp_6_3","temp-1-6",60
1316,"csp_6_4","temp-1-6",57
1325,"csp_5_5","temp-1-6",65
1326,"csp_4_6","temp-1-6",55
1327,"csp_6_2","temp-1-6",65
1330,"csp_1_1","temp-2-1",54
1331,"csp_5_2","temp-1-6",61
1334,"csp_6_5","temp-1-6",60
1343,"csp_2_2","temp-2-1",57
1344,"csp_5_6","temp-1-5",61
1356,"csp_4_5","temp-1-6",65
1362,"csp_4_7","temp-1-6",58
1365,"csp_4_6","temp-1-6",58
1369,"csp_6_3","temp-1-6",59
1377,"csp_6_2","temp-1-6",63
1402,"csp_6_7","temp-1-6",57
1410,"csp_4_6","temp-1-6",65
1417,"csp_4_6","temp-1-6",64
1427,"csp_2_2","temp-2-2",64
1433,"csp_5_2","temp-1-6",60
1451,"csp_5_2","temp-1-5",60
1457,"csp_6_8","temp-1-6",60
1464,"csp_5_4","temp-1-6",60
1468,"csp_1_1","temp-2-1",60
1471,"csp_5_4","temp-1-6",60
1501,"csp_6_4","temp-1-6",53
1510,"csp_3_8","temp-1-6",60
1513,"csp_2_2","temp-2-2",58
1527,"csp_5_4","temp-1-6",60
1534,"csp_4_6","temp-1-6",60
1536,"csp_4_6","temp-2-1",54
1537,"csp_5_2","temp-1-6",65
1546,"csp_6_4","temp-1-6",60
1550,"csp_5_6","temp-1-6",65
1551,"csp_5_2","temp-1-6",60
1554,"csp_2_1","temp-2-1",60
1577,"csp_1_1","temp-2-1",65
1579,"csp_5_6","temp-1-6",61
1597,"csp_3_1","temp-2-1",57
1610,"csp_6_7","temp-1-6",60
1617,"csp_6_3","temp-1-6",64
1628,"csp_4_6","temp-1-6",60
1647,"csp_6_7","temp-1-5",65
1658,"csp_3_7","temp-1-6",60
1667,"csp_5_2","temp-1-6",65
1687,"csp_5_4","temp-1-6",60
1691,"csp_1_1","temp-2-1",60
1704,"csp_6_3","temp-1-6",57
1731,"csp_1_2","temp-2-2",60
1733,"csp_2_2","temp-2-1",60
1743,"csp_5_6","temp-1-6",57
1755,"csp_5_4","temp-1-6",60
1766,"csp_6_4","temp-1-6",57
1768,"csp_2_3","temp-2-2",60
1774,"csp_2_3","temp-2-2",61
1776,"csp_4_6","temp-1-6",60
1778,"csp_6_4","temp-1-6",63
1781,"csp_6_7","temp-1-6",60
1788,"csp_4_7","temp-1-6",60
1798,"csp_5_2","temp-1-6",62
1803,"csp_6_7","temp-1-6",60
