PRIMARY_KEY,activity_sector,Former_dep,JOB_DEP,JOB_DESCRIPTION,CONTRACT_TYPE,JOB_CATEGORY,Job_condition,EMPLOYER_CATEGORY,WORKING_HOURS,Employee_count
3,"HZ","59","59","643a","CDI","O","C","ct_9",2132,"tr_4"
4,"CL","25","25","674a","CDI","O","C","ct_9",1521,"tr_4"
14,"QA","50","50","525d","CDI","O","C","ct_8",1820,"tr_6"
26,"GZ","02","02","433d","CDI","O","C","ct_9",1793,"tr_1"
38,"CC","45","45","485b","CDI","O","C","ct_9",1776,"tr_6"
41,"MA","59","59","462d","CDI","O","C",NA,649,NA
51,"HZ","62","62","451a","CDI","O","C","ct_9",1558,"tr_3"
54,"NZ","72","72","673c","TTP","O","C","ct_9",941,"tr_1"
70,"CG","62","62","462e","CDI","O","P","ct_9",1362,"tr_6"
77,"IZ","93","95","561d","CDI","O","C",NA,433,NA
99,"FZ","34","34","461d","CDI","O","C","ct_9",1820,"tr_5"
102,"NZ","03","69","684a","CDI","O","P","ct_9",1315,"tr_6"
109,"GZ","92","92","374d","CDI","O","C","ct_9",1393,"tr_5"
123,"GZ","14","14","462b","CDI","O","C","ct_9",1021,"tr_0"
138,"NZ","33","33","632j","TTP","O","N","ct_9",1081,"tr_1"
139,"QB","91","91","525d","CDI","O","C","ct_8",1320,"tr_4"
144,"QB","21","21","431f","CDI","O","C","ct_8",1642,"tr_3"
150,"NZ","95","95","623a","CDI","O","C","ct_9",1460,"tr_3"
152,"TZ","91","91","563c","AUT","O","C",NA,296,NA
166,"PZ","29","29","423b","CDI","O","C",NA,248,NA
167,"IZ","34","34","561c","CDI","O","C","ct_9",1309,"tr_2"
168,"CL","35","78","474b","CDI","O","C","ct_9",1872,"tr_6"
193,"QB","56","56","526a","CDI","O","P","ct_3",1510,"tr_6"
196,"QA","17","17","461c","CDI","O","C","ct_9",1819,"tr_1"
202,"SZ","88","88","562a","TOA","O","C","ct_9",1056,"tr_3"
203,"OZ","31","31","472d","AUT","O","P","ct_2",1456,"tr_6"
204,"QB","14","14","543c","AUT","X","P","ct_8",996,"tr_2"
219,"HZ","57","57","641b","CDI","O","P","ct_9",1149,"tr_2"
222,"GZ","37","37","634c","CDI","O","C","ct_9",1649,"tr_2"
225,"CC","92","94","675c","CDI","O","P","ct_9",742,"tr_1"
231,"CA","24","24","674b","CDI","O","C","ct_9",1679,"tr_5"
232,"IZ","61","61","561d","CDI","O","P","ct_9",1178,"tr_1"
236,"GZ","59","59","554e","CDI","O","C",NA,139,NA
239,"EZ","81","81","676e","CDI","O","P","ct_9",1029,"tr_2"
244,"CA","13","13","636c","CDI","O","C","ct_9",2028,"tr_1"
250,"HZ","92","92","451a","CDI","O","C","ct_9",1593,"tr_5"
257,"QA","31","31","526e","CDI","O","C","ct_9",607,"tr_2"
262,"QA","44","44","525d","CDI","O","C","ct_9",1832,"tr_5"
263,"CB","12","12","475b","CDI","O","C","ct_9",593,"tr_0"
264,"TZ","85","85","563c","CDI","O","C",NA,268,NA
265,"NZ","36","36","563b","CDD","O","P","ct_8",889,"tr_0"
267,"FZ","33","33","481a","CDI","O","C","ct_9",1701,"tr_1"
275,"FZ","79","16","632a","CDI","O","C","ct_9",1517,"tr_2"
291,"CB","79","79","675a","CDI","O","C","ct_9",1707,"tr_4"
302,"IZ","88","88","561d","CDI","O","P","ct_9",1162,"tr_2"
306,"CL","78","78","655a","CDI","O","C","ct_9",1846,"tr_6"
309,"NZ","94","77","534a","CDI","O","C","ct_9",2503,"tr_6"
320,"IZ","84","84","561f","CDI","O","C","ct_9",1500,"tr_1"
323,"NZ","03","03","684a","CDI","O","P","ct_9",1001,"tr_5"
332,"HZ",NA,NA,"543b","CDI","O","C","ct_9",727,"tr_2"
342,"CK","28","28","676e","CDI","O","C","ct_9",884,"tr_5"
345,"NZ","2B","2B","684a","CDI","O","P","ct_9",1082,"tr_5"
353,"HZ","65","65","628g","CDI","O","C","ct_9",1423,"tr_5"
356,"OZ","11","11","451g","CDI","O","C",NA,206,NA
360,"HZ","13","13","653a","CDI","O","C","ct_9",1978,"tr_5"
365,"GZ","77","77","672a","CDI","O","C","ct_9",1788,"tr_1"
379,"QB","83","83","563b","CDI","O","P","ct_9",1219,"tr_3"
423,"NZ","75","92","534a","CDI","O","C","ct_9",1205,"tr_6"
