PRIMARY_KEY,pension_plan_payments
3,19555
4,17208
14,16088
26,24983
38,30689
41,12423
51,9668
54,20915
70,16140
77,10727
99,18968
102,14144
109,36342
123,10822
138,18527
139,13886
144,21380
150,20616
152,19437
166,20449
167,12360
168,17020
193,12250
196,18701
202,11060
203,21274
204,11060
219,11641
222,13867
225,20199
231,15244
232,15984
236,13358
239,20854
244,23651
250,12659
257,19252
262,13666
263,9568
264,12939
265,10596
267,21350
275,20598
291,11661
302,11460
306,24256
309,22250
320,15405
323,12110
332,15950
342,21330
345,9836
353,15474
356,11060
360,26685
365,15791
379,11060
423,13787
429,15398
434,24139
437,21123
443,19311
452,22032
486,14825
500,27261
511,16631
519,16943
535,8881
542,21070
550,14107
562,16075
565,17983
577,22590
581,21488
582,16030
589,21291
602,16408
617,24594
618,22788
629,17102
633,27903
639,13949
647,18952
652,8881
657,13302
666,20482
674,11060
680,20650
691,20961
694,13067
704,19010
709,19429
720,19748
721,19395
722,30185
723,11105
725,26920
733,14921
742,14307
751,12022
759,34443
771,15555
772,14657
773,11782
781,13382
787,13076
788,23549
802,22657
803,12803
814,13266
828,16978
830,24267
839,11060
840,17408
852,20531
893,14383
920,24126
924,11020
926,19389
950,16842
952,31165
956,15436
977,32255
989,13814
1001,14614
1005,13227
1026,21904
1044,20863
1046,23524
1052,16051
1071,19215
1088,24584
1096,13864
1100,22825
1106,12851
1109,16719
1110,27467
1114,30795
1139,12549
1140,33199
1147,11806
1148,16364
1156,26177
1167,22619
1179,21160
1187,11982
1188,31533
1190,20918
1192,12938
1195,12882
1196,13325
1245,14908
1248,16003
1253,8881
1264,10387
1266,14697
1270,11060
1281,14654
1283,14506
1309,13210
1311,12802
1316,20621
1325,11060
1326,26074
1327,11060
1331,18521
1334,37264
1344,11061
1356,13209
1362,20803
1365,21328
1369,14126
1377,12277
1402,13414
1410,27080
1417,25056
1433,12966
1451,15414
1457,11688
1464,9758
1471,29737
1501,17678
1510,32170
1527,12674
1534,22639
1537,11401
1546,21728
1550,11060
1551,13817
1579,15199
1610,23742
1617,23515
1628,33282
1647,11060
1658,20083
1667,14378
1687,19830
1704,17498
1743,10171
1755,15127
1766,17670
1776,14651
1778,14574
1781,22957
1788,21009
1798,12166
1803,19166
1811,16569
1813,15998
1822,23346
1825,15622
1839,19288
1840,17232
1847,17842
1849,15677
1850,23358
1853,13395
1864,25410
1872,15995
1878,13612
1887,12254
1911,24537
1919,30299
1928,14293
1930,30996
1931,15279
1936,14672
1938,11068
1954,11443
1974,12027
1981,21062
1988,12489
1993,17950
1999,10888
2023,12359
2043,17795
2047,15684
2051,11630
2059,15040
2061,11391
2063,14175
2091,14181
2095,12839
2104,19520
2122,12755
2143,10506
2147,13711
2155,9272
2156,27250
2158,30856
2161,11448
2168,16871
2169,20561
2170,16742
2174,13724
2178,20869
2182,20973
2194,13975
2198,12985
2205,11119
2207,20403
2211,17898
2222,26811
2232,15795
2235,25632
2238,11841
2249,20873
2266,11060
2268,22963
2274,24781
2278,27732
2289,14664
2304,13567
2312,10823
2318,15400
2332,25947
2358,24473
2365,32654
2373,18636
2392,11444
2399,25428
2432,16263
2436,15630
2445,19189
2449,22068
2465,15224
2467,23374
2477,13595
2487,14617
2488,28597
2493,24379
2525,14594
2527,46855
2529,17612
2532,24620
2561,19583
2566,14689
2575,11060
2580,15636
2582,32324
2586,20307
2592,33655
2596,11795
2603,20088
2608,41973
2611,30291
2615,15429
2616,26811
2619,13433
2664,26884
2677,18250
2691,25975
2695,23451
2713,15864
2742,17837
2755,9616
2764,11252
2773,24984
2776,23053
2783,16011
2785,16897
2786,22274
2818,16334
2819,20583
2830,19749
2831,16075
2838,13506
2847,14762
2851,11894
2852,11594
2862,33628
2863,18041
2873,23682
2881,27713
2886,10442
2903,20801
2906,14270
2911,29131
2913,13933
2914,17456
2915,21358
2930,11860
2940,23387
2948,12597
2961,29521
2976,20663
2981,14797
2985,19631
2994,15270
3004,20799
3006,19057
3013,17807
3024,24319
3030,29742
3037,13582
3040,8881
3062,31565
3063,16281
3065,23605
3066,21518
3069,14735
3075,8881
3081,24748
3086,14105
3089,11060
3092,22338
