PRIMARY_KEY,club
13,"fede-103"
38,"fede-132"
44,"fede-206"
46,"fede-111"
48,"fede-103"
52,"fede-211"
72,"fede-134"
78,"fede-133"
111,"fede-127"
131,"fede-118"
155,"fede-109"
168,"fede-245"
172,"fede-103"
187,"fede-604"
189,"fede-105"
196,"fede-132"
197,"fede-132"
218,"fede-404"
222,"fede-111"
263,"fede-404"
279,"fede-132"
306,"fede-209"
307,"fede-109"
318,"fede-105"
322,"fede-402"
335,"fede-132"
357,"fede-123"
361,"fede-125"
383,"fede-101"
414,"fede-123"
415,"fede-110"
423,"fede-101"
432,"fede-119"
449,"fede-111"
450,"fede-123"
452,"fede-123"
471,"fede-106"
482,"fede-132"
517,"fede-413"
519,"fede-404"
543,"fede-220"
550,"fede-404"
595,"fede-123"
647,"fede-211"
649,"fede-115"
677,"fede-602"
689,"fede-111"
712,"fede-211"
721,"fede-119"
724,"fede-111"
757,"fede-124"
759,"fede-102"
770,"fede-113"
773,"fede-404"
783,"fede-242"
786,"fede-111"
791,"fede-402"
818,"fede-410"
857,"fede-133"
859,"fede-404"
861,"fede-109"
868,"fede-132"
880,"fede-402"
898,"fede-420"
933,"fede-402"
934,"fede-102"
935,"fede-111"
939,"fede-103"
946,"fede-111"
975,"fede-111"
977,"fede-101"
1019,"fede-133"
1027,"fede-127"
1035,"fede-111"
1042,"fede-115"
1049,"fede-111"
1069,"fede-132"
1076,"fede-233"
1162,"fede-106"
1230,"fede-111"
1255,"fede-111"
1259,"fede-111"
1285,"fede-117"
1303,"fede-126"
1314,"fede-109"
1332,"fede-242"
1390,"fede-101"
1395,"fede-111"
1420,"fede-129"
1428,"fede-115"
1433,"fede-245"
1452,"fede-212"
1494,"fede-109"
1499,"fede-109"
1527,"fede-245"
1583,"fede-117"
1587,"fede-123"
1665,"fede-124"
1687,"fede-404"
1694,"fede-132"
1718,"fede-117"
1745,"fede-242"
1764,"fede-123"
1786,"fede-602"
1791,"fede-402"
1805,"fede-117"
1822,"fede-126"
1845,"fede-111"
1850,"fede-102"
1861,"fede-109"
1872,"fede-413"
1877,"fede-402"
1881,"fede-124"
1886,"fede-129"
1893,"fede-111"
1900,"fede-242"
1901,"fede-133"
1928,"fede-245"
1942,"fede-403"
1949,"fede-111"
1955,"fede-410"
1961,"fede-222"
1973,"fede-103"
1977,"fede-111"
1982,"fede-111"
2004,"fede-135"
2021,"fede-111"
2034,"fede-413"
2055,"fede-123"
2061,"fede-420"
2098,"fede-242"
2104,"fede-413"
2120,"fede-410"
2156,"fede-242"
2163,"fede-410"
2194,"fede-123"
2216,"fede-111"
2222,"fede-601"
2227,"fede-111"
2236,"fede-133"
2241,"fede-242"
2242,"fede-242"
2251,"fede-123"
2286,"fede-109"
2296,"fede-101"
2301,"fede-127"
2313,"fede-115"
2317,"fede-125"
2337,"fede-111"
2361,"fede-604"
2363,"fede-123"
2373,"fede-404"
2374,"fede-111"
2386,"fede-121"
2391,"fede-134"
2403,"fede-108"
2404,"fede-111"
2417,"fede-242"
2442,"fede-401"
2486,"fede-233"
2509,"fede-420"
2564,"fede-109"
2570,"fede-242"
2573,"fede-117"
2582,"fede-404"
2591,"fede-402"
2602,"fede-117"
2608,"fede-123"
2616,"fede-132"
2619,"fede-404"
2621,"fede-121"
2627,"fede-242"
2653,"fede-242"
2662,"fede-107"
2685,"fede-404"
2690,"fede-119"
2691,"fede-221"
2706,"fede-242"
2715,"fede-111"
2732,"fede-242"
2751,"fede-111"
2766,"fede-115"
2768,"fede-401"
2803,"fede-242"
